Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Ashok Kumar Verma,Male,NA,NA,NA,1999-12-16T00:00:00Z,2004-01-28T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
B.K. Jha,Male,NA,NA,NA,2002-03-01T00:00:00Z,2005-02-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
B.M. Lal,Male,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
"B.N. Singh ""Neelam""",Male,NA,NA,NA,1994-03-16T00:00:00Z,2001-02-10T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Bharat Prasad Sharma,Male,NA,NA,NA,1996-05-09T00:00:00Z,2000-01-23T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Bimal Chandra Basak,Male,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Braj Nandan Prasad Singh,Male,NA,NA,NA,2001-07-01T00:00:00Z,2008-04-08T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
C.M. Prasad,Male,NA,NA,NA,2003-03-24T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
D.P.S. Choudhary,Male,NA,NA,NA,1998-12-29T00:00:00Z,2002-03-28T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Daljeet Singh Dhaliwal,Male,NA,NA,NA,1994-07-21T00:00:00Z,1998-07-22T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Dr. Ravi Ranjan,Male,NA,NA,NA,2008-07-14T00:00:00Z,2022-12-19T00:00:00Z,No,No,Patna,Yes,PunjabandHaryana,2018-11-10T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
G.S. Chaube,Male,NA,NA,NA,1996-05-09T00:00:00Z,2000-07-20T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
I.P. Singh,Male,NA,NA,NA,1990-07-10T00:00:00Z,2007-09-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Lok Nath Prasad,Male,NA,NA,NA,1992-10-19T00:00:00Z,1998-09-19T00:00:00Z,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Madhavendra Saran,Male,NA,NA,NA,2006-05-10T00:00:00Z,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Manohar Lal Visa,Male,NA,NA,NA,1998-12-29T00:00:00Z,2006-02-28T00:00:00Z,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Mohit Kumar Shah,Male,NA,NA,NA,2017-05-22T00:00:00Z,NA,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
N. Pandey,Male,NA,NA,NA,1988-10-31T00:00:00Z,2001-03-20T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
N.S. Rao,Male,NA,NA,NA,1987-09-13T00:00:00Z,1994-01-04T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Nanumani Prasad Singh,Male,NA,NA,NA,1990-07-10T00:00:00Z,1999-09-11T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Narendra Narayan Singh,Male,NA,NA,NA,1996-05-09T00:00:00Z,2000-03-15T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
Naresh Kumar Sinha,Male,NA,NA,NA,1992-10-19T00:00:00Z,1999-04-12T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna
Nilu Agrawal,Female,NA,Bihar,Patna,2015-04-15T00:00:00Z,NA,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,"St. Joseph's Convent, Patna",Patna University,Arts (History),Patna University,NA,1983,Bihar,No,Yes,No,Patna
O.N. Asthana,Male,NA,NA,NA,1994-02-21T00:00:00Z,1997-04-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
P.K. Sarkar,Male,NA,NA,NA,1996-03-09T00:00:00Z,2000-01-09T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
P.K. Sinha,Male,NA,NA,NA,1999-12-16T00:00:00Z,2005-03-06T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
P.N. Yadav,Male,NA,NA,NA,2001-07-02T00:00:00Z,2005-01-04T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Prasun Kumar Deb,Male,NA,NA,NA,1994-02-14T00:00:00Z,2003-10-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
R.N. Sahay,Male,NA,NA,NA,1990-07-10T00:00:00Z,2000-05-21T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Radha Mohan Prasad,Male,NA,NA,NA,1991-12-02T00:00:00Z,2006-07-12T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Rajendra Prasad,Male,NA,NA,NA,2002-09-09T00:00:00Z,2006-01-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Ram Avtar Sharma,Male,NA,NA,NA,1997-12-12T00:00:00Z,2000-01-06T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Rekha Kumari,Female,NA,NA,NA,2005-01-24T00:00:00Z,2008-07-08T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
S.K. Hom Chaudhari,Male,NA,NA,NA,1994-04-28T00:00:00Z,1996-03-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
S.K. Katriar,Male,NA,NA,NA,1999-03-31T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
S.M.M. Alam,Male,NA,NA,NA,2005-01-24T00:00:00Z,2009-01-02T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
S.N. Mishra,Male,NA,NA,NA,1991-12-02T00:00:00Z,2001-06-16T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
S.N. Pathak,Male,NA,NA,NA,1999-12-16T00:00:00Z,2003-02-05T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Sadanand Mukherjee,Male,NA,NA,NA,2005-01-24T00:00:00Z,2008-02-12T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Shashank Kumar Singh,Male,NA,NA,NA,1990-07-27T00:00:00Z,2005-10-02T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Subash Chandra Jha,Male,NA,NA,NA,2006-05-10T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Sudhir Singh,Male,NA,NA,NA,2015-04-15T00:00:00Z,2027-12-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Vikas Vidyalaya, Ranchi","Patna College, Patna",Political Science,"Patna Law College, Patna University",NA,1991,NA,No,No,No,Patna
Syed Jaffer Imam,Male,NA,Bihar,Patna,NA,1964-01-30T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1955-01-10T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Patna
Tarkeshwar Prasad Singh,Male,NA,NA,NA,2002-03-02T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
U.P. Singh,Male,NA,NA,NA,1984-02-15T00:00:00Z,1997-12-20T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna
V.N. Sinha,Male,NA,NA,NA,2004-03-24T00:00:00Z,2015-11-15T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna
Sudarshan Dayal Agarwala,Male,1932-01-15T00:00:00Z,NA,NA,1977-11-17T00:00:00Z,1994-01-15T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,Mary's Convent Agra,St. Peter's College Agra,NA,NA,NA,1955,Allahabad,NA,NA,NA,PunjabandHaryana
Savinder Singh Sodhi,Male,1933-04-09T00:00:00Z,NA,NA,1982-06-18T00:00:00Z,1994-01-31T00:00:00Z,No,No,PunjabandHaryana,Yes,NA,NA,NA,NA,NA,NA,Yes,Allahabad,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,PunjabandHaryana
Gurbax Rai Majithia,Male,1934-04-14T00:00:00Z,NA,NA,1988-05-04T00:00:00Z,1994-04-14T00:00:00Z,No,No,PunjabandHaryana,Yes,Bombay,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,Yes,No,No,No,NA,NA,Commerce,NA,NA,1960,Punjab and Haryana,No,No,No,PunjabandHaryana
Sudhakar Panditrao Kurdukar,Male,1935-01-16T00:00:00Z,NA,NA,1978-04-25T00:00:00Z,1996-03-27T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,1996-03-29T00:00:00Z,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1961,Bombay,NA,NA,NA,PunjabandHaryana
Shrikant C Malte,Male,1936-11-30T00:00:00Z,NA,NA,1994-10-06T00:00:00Z,1998-11-02T00:00:00Z,No,No,Bombay,Yes,PunjabandHaryana,1994-11-01T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1960,Maharashtra,No,Yes,Yes,PunjabandHaryana
T.H.B. Chalapathi,Male,1938-06-01T00:00:00Z,Andhra Pradesh,"Razole, East Godavari District",1994-11-04T00:00:00Z,2000-05-31T00:00:00Z,No,No,AndhraPradesh,Yes,PunjabandHaryana,1994-11-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,NA,Madras Law College,Science,Madras Law College,1960,1961,Andhra Pradesh,No,No,No,PunjabandHaryana
A.B. Saharya,Male,1940-09-15T00:00:00Z,NA,NA,1986-04-24T00:00:00Z,2002-09-14T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1963,Mysore,NA,NA,NA,PunjabandHaryana
Ashok Bhan,Male,1943-10-02T00:00:00Z,NA,NA,1990-06-15T00:00:00Z,2001-06-17T00:00:00Z,No,No,PunjabandHaryana,Yes,Karnataka,1997-10-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2001-06-17T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,NA,NA,NA,NA,NA,1965,Punjab and Haryana,No,No,No,PunjabandHaryana
Harjit Singh Bedi,Male,1946-09-05T00:00:00Z,Punjab Province of British India (now Pakistan),Sahiwal (formerly known as Montgomery),1991-03-15T00:00:00Z,2007-01-12T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,Yes,Bombay,NA,NA,Yes,2007-01-12T00:00:00Z,Bar,No,Yes,Yes,NA,No,Yes,No,No,No,"Bishop Cotton School, Shimla",NA,NA,Cambridge,1962,1972,Punjab and Haryana,Yes,No,Yes,PunjabandHaryana
Pritam Pal,Male,1947-06-03T00:00:00Z,Punjab,Kandroli village,2004-11-05T00:00:00Z,2009-06-02T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,No,Yes,No,NA,NA,NA,NA,NA,"Punjab University, Chandigarh",NA,"Kurukshetra University, Kurukshetra",1972,NA,NA,No,No,No,PunjabandHaryana
Nirmal Singh,Male,1947-09-06T00:00:00Z,Punjab,Rampur-Fatehgarh Sahib,2000-05-25T00:00:00Z,2009-09-06T00:00:00Z,No,No,PunjabandHaryana,Yes,J&KandLadakh,2005-03-18T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,National High School (Balahri Kalan),NA,Arts,Panjab University,1972,NA,NA,No,No,No,PunjabandHaryana
Devinder Kumar Jain,Male,1948-01-25T00:00:00Z,NA,NA,1991-03-19T00:00:00Z,2013-01-24T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,2006-04-10T00:00:00Z,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1974,Delhi,NA,NA,NA,PunjabandHaryana
Viney Mittal,Male,1948-08-12T00:00:00Z,NA,NA,2002-07-02T00:00:00Z,2007-04-10T00:00:00Z,No,No,PunjabandHaryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PunjabandHaryana
Palanisamy Sathasivam,Male,1949-04-27T00:00:00Z,Tamil Nadu,Kadappanallur,1996-01-08T00:00:00Z,2007-08-20T00:00:00Z,No,No,Madras,Yes,PunjabandHaryana,2007-04-20T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,Yes,2007-08-21T00:00:00Z,Bar,No,Yes,NA,NA,Yes,No,Yes,No,No,NA,NA,Arts,NA,NA,1973,Madras,No,No,No,PunjabandHaryana
Jasbir Singh,Male,1952-08-01T00:00:00Z,NA,NA,2001-07-02T00:00:00Z,2014-07-31T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,"govt. Model School, Jalandhar","Khalsa College, Jalandha",NA,"Punjabi University, Patiala",NA,1979,Punjab and Haryana,No,Yes,No,PunjabandHaryana
Adarsh Kumar Goel,Male,1953-07-07T00:00:00Z,Haryana,Hissar,2001-07-02T00:00:00Z,2014-07-06T00:00:00Z,No,No,PunjabandHaryana,Yes,Gauhati,2011-09-12T00:00:00Z,NA,NA,NA,NA,Yes,Gauhati,Orissa,NA,Yes,2014-07-07T00:00:00Z,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,"Punjab University, Chandigarh",Arts,"Punjab University, Chandigarh",NA,1974,Punjab and Haryana,No,No,No,PunjabandHaryana
Tapen Sen,Male,1953-09-02T00:00:00Z,Jharkhand,Hazaribagh,2002-01-28T00:00:00Z,2015-09-02T00:00:00Z,No,No,Jharkhand,Yes,PunjabandHaryana,2004-12-02T00:00:00Z,Calcutta,2006-01-09T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,Yes,No,"St.Xavier's School, Hazaribag","St.Columba's College, Hazaribag",NA,"Chotanagpur Law College, Ranchi",1979,1980,Bihar,No,No,No,PunjabandHaryana
Karam Chand Puri,Male,1953-09-20T00:00:00Z,Punjab,Payal in District Ludhiana,2007-10-15T00:00:00Z,2015-09-19T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,Yes,No,No,"MLN School, Yamuna Nagar","Bikram College of Commerce, Patiala",Commerce,"Punjabi University, Patiala",1982,1982,Punjab and Haryana,No,Yes,No,PunjabandHaryana
Rajiv Bhalla,Male,1954-03-04T00:00:00Z,NA,NA,2004-01-09T00:00:00Z,2016-03-03T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Punjab and Haryana,No,No,No,PunjabandHaryana
Arjan Kumar Sikri,Male,1954-03-07T00:00:00Z,NA,NA,1999-07-07T00:00:00Z,2013-04-11T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,2013-04-12T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,No,Yes,No,No,NA,"Shriram College of Commerce, Delhi University",Commerce,"Law Faculty, Delhi University",1977,1977,Delhi,No,No,Yes,PunjabandHaryana
Satish Kumar Mittal,Male,1954-04-15T00:00:00Z,Haryana,Narnaul,2002-07-02T00:00:00Z,2016-03-05T00:00:00Z,No,No,PunjabandHaryana,Yes,NA,NA,NA,NA,NA,NA,Yes,Rajasthan,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,"Govt.  College,  Narnual",Arts,Kurukshetra University,NA,1978,Punjab and Haryana,No,No,Yes,PunjabandHaryana
Ranjan Gogoi,Male,1954-11-18T00:00:00Z,Assam,Dibrugarh,2001-02-28T00:00:00Z,2012-04-23T00:00:00Z,No,No,Gauhati,Yes,NA,NA,NA,NA,NA,NA,Yes,Punjab and Haryana,NA,NA,Yes,2012-04-23T00:00:00Z,Bar,No,Yes,NA,NA,No,No,No,No,No,"Don Bosco School, Dibrugarh",St Stephenâ€™s College,History,Delhi University,NA,1978,Gauhati,No,No,Yes,PunjabandHaryana
Surinder Singh Saron,Male,1955-09-04T00:00:00Z,Punjab,Sangrur District,2002-07-02T00:00:00Z,2017-09-03T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,Yes,No,No,No,"Bishop Cotton School, Shimla","Government College, Chandigarh",History,"Panjab University, Chandigarh",1980,1980,Punjab and Haryana,No,Yes,No,PunjabandHaryana
Mohinder Mohan Singh Bedi,Male,1956-10-09T00:00:00Z,NA,NA,2006-04-01T00:00:00Z,2018-10-08T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1980,Punjab and Haryana,No,No,Yes,PunjabandHaryana
Tej Pratap Singh Mann,Male,1957-01-01T00:00:00Z,NA,NA,2006-03-22T00:00:00Z,2018-12-31T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1979,Punjab and Haryana,No,No,Yes,PunjabandHaryana
Mahesh Grover,Male,1957-06-04T00:00:00Z,NA,NA,2006-03-22T00:00:00Z,2019-06-03T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,1981,Punjab and Haryana,No,No,No,PunjabandHaryana
Ajay Kumar Mittal,Male,1958-09-30T00:00:00Z,Chandigarh,NA,2004-01-09T00:00:00Z,2019-05-28T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,Yes,Meghalaya High Court,Madhya Pradesh,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,"Sri Ram College of Commerce, Delhi University",Commerce,"Faculty of Law, Delhi University",1980,1980,Punjab and Haryana,No,No,No,PunjabandHaryana
Rakesh Kumar Jain,Male,1958-10-01T00:00:00Z,NA,NA,2007-12-05T00:00:00Z,2020-09-30T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,No,NA,NA,Commerce,NA,NA,1982,Punjab and Haryana,No,No,No,PunjabandHaryana
Daya Chaudhary,Female,1959-01-10T00:00:00Z,NA,NA,2007-12-05T00:00:00Z,2021-01-09T00:00:00Z,No,No,PunjabandHaryana,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1987,Punjab and Haryana,No,Yes,Yes,PunjabandHaryana
