Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Tej Shanker,Male,Not Available,Not Available,Not Available,1994-02-01T00:00:00Z,1999-04-05T00:00:00Z,No,No,Allahabad,Yes,MadhyaPradesh,1994-02-14T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,MadhyaPradesh,
Tejinder Singh Doabia,Male,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,MadhyaPradesh,Yes,MadhyaPradesh,1994-02-28T00:00:00Z,J&KandLadakh,1997-12-06T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,
Usha Shukla,Female,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,
Vinay Mittal,Male,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,PunjabandHaryana,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,
Vishnu Kokje,Male,Not Available,Not Available,Not Available,1990-07-28T00:00:00Z,2001-11-06T00:00:00Z,No,No,MadhyaPradesh,Yes,Rajasthan,1994-04-23T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Madhya Pradesh,Not Available,Not Available,Not Available,MadhyaPradesh,
W.A. Shah,Male,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,MadhyaPradesh,
Kudarikoti Swamy,Male,1935-03-20T00:00:00Z,Not Available,Not Available,1979-01-01T00:00:00Z,1997-03-19T00:00:00Z,No,No,Karnataka,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,1960,KarNot Availabletaka,No,No,No,Madras,
Ashok Chhotelal Agarwal,Male,1937-08-27T00:00:00Z,Maharashtra,Pune,1986-11-21T00:00:00Z,1999-08-26T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,"Shri Shivaji Preparatory Military School, Pune",Ferguson College and Wadia College,Arts,"Indian Law Society, Pune",1960,1960,Maharashtra,No,No,No,Madras,
Manmohan Liberhan,Male,1938-11-11T00:00:00Z,Chandigarh,Chandigarh,1987-02-11T00:00:00Z,2000-02-10T00:00:00Z,No,No,PunjabandHaryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Andhra Pradesh,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Punjab and HaryaNot Available,No,No,No,Madras,
Konakuppakattil Gopinathan Balakrishnan,Male,1945-05-12T00:00:00Z,Kerala,Thalayolaparambu,1985-09-26T00:00:00Z,2010-05-12T00:00:00Z,No,No,Kerala,Yes,Gujarat,1997-11-24T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Gujarat,Madras,Not Applicable,Yes,2000-06-08T00:00:00Z,Service,Yes,Yes,Not Available,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Maharaja's College,Not Available,Maharaja's Law College,Not Available,1968,Kerala,No,No,Yes,Madras,
Meiyappan Chockalingam,Male,1949-02-17T00:00:00Z,tamil nadu,Not Available,2000-09-27T00:00:00Z,2011-02-17T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1974,tamil Not Availabledu,No,No,No,Madras,
Hemant Laxman Gokhale,Male,1949-03-10T00:00:00Z,Gujarat,Not Available,1994-01-20T00:00:00Z,2011-03-20T00:00:00Z,No,No,Bombay,Yes,Gujarat,1994-02-04T00:00:00Z,Bombay,1999-02-24T00:00:00Z,Not Applicable,Not Applicable,Yes,Allahabad,Madras,Not Applicable,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"Government Law College, Bombay",Not Available,"Government Law College, Mumbai",Not Available,1973,Maharashtra,No,Yes,Yes,Madras,
Mohammad Yusuf Eqbal,Male,1951-02-13T00:00:00Z,Not Available,Not Available,1996-05-09T00:00:00Z,2016-02-12T00:00:00Z,No,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,Yes,2012-12-24T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Ranchi Zila School,Ranchi University,Science,Not Available,1974,1975,Jharkhand,No,No,No,Madras,
Ardhanariswamy Arumughaswamy,Male,1952-04-28T00:00:00Z,Tamil Nadu,Not Available,2010-02-17T00:00:00Z,2014-04-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Madras,
Akbar Ali,Male,1952-11-23T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2014-11-22T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1978,Tamil Not Availabledu,No,No,No,Madras,
Aruna Jagadeesan,Female,1953-03-26T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2015-03-25T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1978,Tamil Not Availabledu,Not Available,Not Available,No,Madras,
R. Karuppiah,Male,1953-04-07T00:00:00Z,tamil Nadu,Sivaganga,2011-12-20T00:00:00Z,2015-04-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,"RDM Arts Clg, SivagNot Availablega",Arts,Madurai law college,Not Available,1981,tamil Not Availabledu,No,No,No,Madras,
Velu Dhanapalan,Male,1953-06-01T00:00:00Z,Tamil Nadu,Not Available,2005-12-10T00:00:00Z,2015-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1983,Tamil Not Availabledu,No,No,Yes,Madras,
R. S. Ramanathan,Male,1953-06-16T00:00:00Z,Tamil Nadu,Tirunelveli,2009-03-31T00:00:00Z,2015-06-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,"St John’s College, Palayamkottai",Not Available,Madras Law College,Not Available,1976,Tamil Not Availabledu,No,No,No,Madras,
K. B. K. Vasuki,Female,1953-09-09T00:00:00Z,Tamil Nadu,Kodumudi,2010-02-17T00:00:00Z,2015-09-08T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,"Sri Sankara Vidyasala High School, Kodumudi; Sri Sankara Vidyasala Girls High School, Kodumudi.","PSG KrishNot Availablemmal College for Women, Coimbatore",Arts,Madras Law College,Not Available,1979,Tamil Not Availabledu,No,No,No,Madras,
Sabapathi Tamilvanan,Male,1954-02-06T00:00:00Z,Not Available,Not Available,2005-12-10T00:00:00Z,2016-02-04T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1981,Tamil Not Availabledu,Not Available,Not Available,Yes,Madras,
Duraisamy Hariparanthaman,Male,1954-03-17T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2016-03-16T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Tamil Not Availabledu,No,No,No,Madras,
P. R. Shivakumar,Male,1954-05-12T00:00:00Z,Not Available,Not Available,2006-09-18T00:00:00Z,2016-05-11T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1980,Tamil Not Availabledu,No,No,Yes,Madras,
V. S. Ravi,Male,1954-05-20T00:00:00Z,Not Available,Not Available,2013-10-25T00:00:00Z,2016-05-19T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1978,tamil Not Availabledu,No,No,No,Madras,
Muthuswami Jaichandren,Male,1955-02-25T00:00:00Z,Tamil Nadu,Not Available,2005-12-10T00:00:00Z,2017-02-23T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1983,Tamil Not Availabledu,Not Available,Yes,Yes,Madras,
R. Mala,Female,1955-03-15T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2017-03-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1982,Tamil Not Availabledu,Not Available,Not Available,No,Madras,
Balasundaram Rajendran,Male,1955-04-01T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2020-03-31T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Tamil Not Availabledu,No,No,No,Madras,
Gopalakrishnan Chockalingam,Male,1955-04-01T00:00:00Z,tamil Nadu,Not Available,2013-10-25T00:00:00Z,2017-03-31T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1979,tamil Not Availabledu,No,No,No,Madras,
Shunmugavel Palanivelu,Male,1955-05-11T00:00:00Z,Tamil Nadu,Tirunelveli,2007-03-22T00:00:00Z,2017-05-10T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1981,Tamil Not Availabledu,No,No,Yes,Madras,
P. Devadass,Male,1955-05-15T00:00:00Z,tamil Nadu,Nathaikullam,2011-12-20T00:00:00Z,2017-05-14T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Madras Law College,Not Available,Madras Law College,Not Available,1981,Tamil Not Availabledu,No,No,Yes,Madras,
T. Mathivanan,Male,1955-05-28T00:00:00Z,Not Available,Not Available,2010-02-17T00:00:00Z,2017-05-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,Not Available,Tamil Not Availabledu,No,No,Yes,Madras,
Saminathan Nagamathu,Male,1955-05-31T00:00:00Z,Tamil Nadu,Thanjavur,2007-03-22T00:00:00Z,2017-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1981,Tamil Not Availabledu,No,No,No,Madras,
B. Gokuldas,Male,1955-06-07T00:00:00Z,tamil Nadu,Not Available,2016-04-07T00:00:00Z,2017-06-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Madras Christian Clg,Arts,Madras Law College,Not Available,1978,Tamil Not Availabledu,No,No,No,Madras,
N. Authinathan,Male,1956-01-19T00:00:00Z,tamil Nadu,"Authinathapuram Village, Tuticorin District",2016-04-07T00:00:00Z,2018-01-18T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,No,Not Available,No,Not Available,Not Available,Not Available,"Caldwel High School, Thoothukudi","S. A. College, Palayamkottai",Not Available,Madurai Law College,Not Available,1981,Tamil Not Availabledu,No,No,No,Madras,
A. Selvam,Male,1956-04-05T00:00:00Z,Not Available,Not Available,2006-07-31T00:00:00Z,2018-04-04T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1981,Tamil Not Availabledu,No,No,No,Madras,
Ponnusamy Kalaiyarasan,Male,1956-05-01T00:00:00Z,tamil Nadu,Salem,2016-04-07T00:00:00Z,2018-04-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Government Arts College, Salem",Chemistry,"V.R. Law College, Nellore ",Not Available,1980,Tamil Not Availabledu,Not Available,Yes,Yes,Madras,
Muhammad Basheer Ahmad,Male,1956-08-28T00:00:00Z,tamil Nadu,"Singampathu, Tirunelveli District",2016-10-05T00:00:00Z,2018-08-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,"K.A.M.P. Meerania High School, Kalakkad, Tirunelveli District, P.U.C.",AdhithaNot Availabler College of Arts and Science at Tiruchendur,Science,"Madurai Law College, Madurai",1980,1981,tamil Not Availabledu,No,No,No,Madras,
S. Baskaran,Male,1956-11-16T00:00:00Z,tamil Nadu,Mannargudi,2016-10-05T00:00:00Z,2018-11-15T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,"Findlay Higher Secondary School, Mannargudi and Bishop Heber College, Trichy","Not AvailabletioNot Availablel College, Trichy",Economics,"Government Law College, Pondicherry",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Madras,
S. Vimala,Female,1957-01-11T00:00:00Z,Tamil Nadu,Cuddalore,2011-12-20T00:00:00Z,2019-01-10T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Sitalakshmi Ramaswamy Clg, trichy",Chemistry,Madras Law College,Not Available,1983,tamil Not Availabledu,No,No,Yes,Madras,
Cyril Thamarai Selvam,Male,1957-02-09T00:00:00Z,Tamil Nadu,Thanjavur,2009-03-31T00:00:00Z,2019-02-08T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Not Available,Yes,Not Available,Loyola College,Commerce,Madras Law College,1981,1982,Tamil Not Availabledu,No,No,No,Madras,
M. Venugopal,Male,1957-05-07T00:00:00Z,Not Available,Not Available,2007-11-12T00:00:00Z,2019-05-06T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,Not Available,Yes,Not Available,No,Not Available,Not Available,Not Available,M.C.T.Muthiah Chettiar High School,Pachaiyappa`s College,Arts,Madras Law College,Not Available,1981,Tamil Not Availabledu,No,No,Yes,Madras,
S. Ramathilagam,Female,1957-09-25T00:00:00Z,tamil Nadu,coimbatore,2017-12-01T00:00:00Z,2019-09-24T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,Not Available,tamil Not Availabledu,Not Available,Not Available,Yes,Madras,
K. K. Sasidharan,Male,1957-10-28T00:00:00Z,Union Territory of Pondicherry,Chalackara Village,2007-11-12T00:00:00Z,2019-10-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,"Sreenarayana Senior Basic School, Kurichiyil; V.P. Oriental High School,
 Chockly","Mahatma Gandhi Govt. Arts College, Mahe, Pondicherry",Arts,"Dr. Ambedkar Govt. Law College, Pondicherry",1983,1983,Tamil Not Availabledu,No,No,No,Madras,
Vijaya Tehsilramani,Female,1958-10-03T00:00:00Z,Maharashtra,Mumbai,2001-06-26T00:00:00Z,2019-09-06T00:00:00Z,No,Yes,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Madras,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,Not Available,Not Available,1982,Maharashtra and Goa,No,No,Yes,Madras,
Kandasami Ravichandra Baabu,Male,1958-10-14T00:00:00Z,Tamil Nadu,Villipuram,2011-12-20T00:00:00Z,2020-10-13T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Madras Law College,Not Available,1984,Tamil Not Availabledu,No,No,No,Madras,
P. Rajamanickam,Male,1959-05-31T00:00:00Z,Tamil Nadu,Not Available,2017-12-01T00:00:00Z,2021-05-30T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Science,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Madras,
M. Sathyanarayanan,Male,1959-06-10T00:00:00Z,Not Available,Not Available,2008-04-23T00:00:00Z,2021-06-09T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,DG VaishNot Availablev College,Commerce,"Dr. Ambedkar Govt. Law College, Pondicherry",Not Available,1983,Tamil Not Availabledu,No,No,No,Madras,
Ratnavel Subbiah,Male,1959-06-21T00:00:00Z,Tamil Nadu,Thirupudaimarathur,2008-03-24T00:00:00Z,2021-06-20T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Madras Law College,Not Available,Madras Law College,1983,1983,Tamil Not Availabledu,No,No,No,Madras,
T. Ravindran,Male,1959-06-30T00:00:00Z,Tamil Nadu,Chennai,2016-10-05T00:00:00Z,2021-06-29T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,"Ramakrishna Mission, Chennai","New College, ChenNot Availablei",Science,Madras Law College,Not Available,1983,Tamil Not Availabledu,No,No,No,Madras,
Nadesa Kirubakaran,Male,1959-08-21T00:00:00Z,Not Available,Not Available,2009-03-31T00:00:00Z,2021-08-20T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1985,Tamil Not Availabledu,No,No,No,Madras,
T. Krishnavalli,Female,1959-09-28T00:00:00Z,Tamil Nadu,Tirnulveli,2017-12-01T00:00:00Z,2021-09-27T00:00:00Z,No,No,Madras,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Yes,"Chatram HSC, Kadayam","Parasakthi Womens Clg, Courtallam",Arts,Madurai Law College,Not Available,1985,Tamil Not Availabledu,No,No,No,Madras,
