Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Bishwanath Agrawal,Male,1944-10-15T00:00:00Z,NA,NA,1986-11-17T00:00:00Z,2009-10-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2000-10-19T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,NA,NA,1966,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Biswanath Agrawal,Male,1994-10-15T00:00:00Z,NA,NA,1986-11-17T00:00:00Z,2009-10-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2000-10-19T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1966,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Braj Nandan Prasad Singh,Male,NA,NA,NA,2001-07-01T00:00:00Z,2008-04-08T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
C.M. Prasad,Male,NA,NA,NA,2003-03-24T00:00:00Z,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Chakradhari Sharan Singh,Male,1963-01-20T00:00:00Z,NA,NA,2012-04-05T00:00:00Z,2025-01-19T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,NA,NA,"Campus law Centre, Delhi University",NA,1990,NA,No,No,No,Patna,Patna,NA,NA,NA
Chandra Mohan Prasad,Male,1949-03-01T00:00:00Z,NA,NA,2003-03-24T00:00:00Z,2011-03-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Chandramauli Kumar Prasad,Male,1949-07-15T00:00:00Z,Bihar,Patna,1994-11-08T00:00:00Z,2014-07-14T00:00:00Z,No,No,Patna,Yes,Madhya Pradesh,1994-11-21T00:00:00Z,Patna,2001-09-06T00:00:00Z,NA,NA,Yes,Allahabad,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1973,Bihar,NA,NA,No,Patna,Patna,MadhyaPradesh,Patna,NA
D.P.S. Choudhary,Male,NA,NA,NA,1998-12-29T00:00:00Z,2002-03-28T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Daljeet Singh Dhaliwal,Male,NA,NA,NA,1994-07-21T00:00:00Z,1998-07-22T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Deoki Nandan Prasad,Male,1941-08-01T00:00:00Z,NA,NA,1998-12-01T00:00:00Z,NA,NA,NA,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Patna,Patna,Jharkhand,NA,NA
Devinder Pratap Wadhwa,Male,1935-05-05T00:00:00Z,NA,NA,1983-08-12T00:00:00Z,2000-05-05T00:00:00Z,No,No,Delhi,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,1997-03-21T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1962,NA,No,No,No,Patna,Delhi,NA,NA,NA
Dharnidhar Jha,Male,1952-09-07T00:00:00Z,Bihar,NA,2006-11-06T00:00:00Z,2015-09-07T00:00:00Z,No,No,Patna,Yes,Allahabad,2011-12-09T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1980,Bihar,No,No,No,Patna,Patna,Allahabad,NA,NA
Dinesh Kumar Singh,Male,1958-10-03T00:00:00Z,BIhar,Chapra,2010-02-18T00:00:00Z,2020-10-02T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,Bihar University,NA,Patna University,NA,1986,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Dipak Misra,Male,1953-10-03T00:00:00Z,Odisha,NA,1996-01-17T00:00:00Z,2018-10-02T00:00:00Z,No,No,Orissa,Yes,Madhya Pradesh,1997-03-03T00:00:00Z,NA,NA,NA,NA,Yes,Patna,Delhi,NA,Yes,2011-10-10T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1977,Orissa,NA,NA,NA,Patna,Orissa,MadhyaPradesh,NA,NA
Dr. Ravi Ranjan,Male,NA,NA,NA,2008-07-14T00:00:00Z,2022-12-19T00:00:00Z,No,No,Patna,Yes,Punjab & Haryana HC,2018-11-10T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,Patna,PunjabandHaryana,NA,NA
G.S. Chaube,Male,NA,NA,NA,1996-05-09T00:00:00Z,2000-07-20T00:00:00Z,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Ghanshyam Prasad,Male,1947-01-28T00:00:00Z,NA,NA,2005-01-24T00:00:00Z,2009-01-28T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Gopal Ballav Patnaik,Male,1937-12-19T00:00:00Z,Odisha,NA,1983-06-01T00:00:00Z,2002-12-19T00:00:00Z,No,No,Orissa,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,1995-09-11T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1962,Orissa,No,No,No,Patna,Orissa,NA,NA,NA
Gopal Prasad,Male,1954-07-06T00:00:00Z,Bihar,NA,2010-03-15T00:00:00Z,2016-07-06T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Patna,Patna,NA,NA,NA
Gopi Chand Bharuka,Male,1941-06-15T00:00:00Z,NA,NA,1994-06-13T00:00:00Z,2003-06-16T00:00:00Z,NA,No,Patna,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,NA,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,Ranchi University,NA,1968,Bihar,No,NA,Yes,Patna,Patna,NA,NA,NA
Gurusharan Sharma,Male,1942-01-15T00:00:00Z,Bihar,Pandarak,1992-10-19T00:00:00Z,2004-01-15T00:00:00Z,No,No,Patna,Yes,Jharkhand,2000-11-15T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Punyark Vidya Mandir, Pandarak",Patna University,Master's in Political Science,NA,1965,1966,Bihar,No,Yes,NA,Patna,Patna,Jharkhand,NA,NA
Gyan Sudha Mishra,Female,1949-04-28T00:00:00Z,NA,NA,1994-03-16T00:00:00Z,2014-04-27T00:00:00Z,No,No,Patna,Yes,Rajasthan,1994-04-21T00:00:00Z,NA,NA,NA,NA,Yes,Jharkhand,NA,NA,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Patna University,Political Science,Patna University,NA,1972,Bihar,No,Yes,No,Patna,Patna,Rajasthan,NA,NA
Hemant Kumar Srivastava,Male,1959-02-02T00:00:00Z,Uttar Pradesh,Allahabad,2010-08-12T00:00:00Z,2021-02-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Allahabad University,Arts,Allahabad University,1980,1982,Uttar Pradesh,No,No,No,Patna,Patna,NA,NA,NA
I.P. Singh,Male,NA,NA,NA,1990-07-10T00:00:00Z,2007-09-01T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Iqbal Ahmed Ansari,Male,1954-10-29T00:00:00Z,Assam,Tejpur,2002-03-04T00:00:00Z,2016-10-28T00:00:00Z,No,No,Guahati,Yes,Patna,2013-11-11T00:00:00Z,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Darrang College, Tezpur",Science,Tezpur Law College,NA,1978,Assam,No,No,No,Patna,Gauhati,Patna,NA,NA
J.N. Bhatt,Male,1945-10-16T00:00:00Z,Gujarat,Jamnagar,1990-06-21T00:00:00Z,2007-10-16T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,NA,NA,NA,NA,NA,1968,Gujrat,No,Yes,Yes,Patna,Gujarat,NA,NA,NA
J.N. Dubey,Male,1937-07-15T00:00:00Z,NA,NA,1984-05-24T00:00:00Z,1999-07-15T00:00:00Z,No,No,Allahabad,Yes,Patna,1994-04-28T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1966,NA,No,No,No,Patna,Allahabad,Patna,NA,NA
Jacob Benjamin Koshy,Male,1947-05-13T00:00:00Z,Kerala,NA,1996-01-17T00:00:00Z,2009-05-12T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,Yes,No,NA,NA,Science,NA,NA,1968,Kerala,No,No,Yes,Patna,Kerala,NA,NA,NA
Jayanandan Singh,Male,1952-09-30T00:00:00Z,NA,NA,2006-10-09T00:00:00Z,2014-09-30T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1976,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Jitendra Mohan Sharma,Male,1956-07-02T00:00:00Z,Bihar,Gaya,2014-04-21T00:00:00Z,2018-07-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Raj Kumari Devi High School, Sindauri Konch, Gaya","Magadh University, Bodh Gaya",Science,"Magadh University, Bodh Gaya",NA,1983,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Jyoti Saran,Male,1957-08-19T00:00:00Z,NA,NA,2009-06-13T00:00:00Z,2019-08-18T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,Yes,No,NA,Delhi University,NA,Patna University,NA,1986,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Kishore Kumar Mandal,Male,1956-01-22T00:00:00Z,Bihar,Madhepura,2007-07-10T00:00:00Z,2018-01-21T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,"Patna College, Patna",NA,"Patna Law College, Patna University",NA,1980,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Konduswami Venkataswami,Male,1934-09-19T00:00:00Z,NA,NA,1983-07-24T00:00:00Z,1999-09-18T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,1995-03-06T00:00:00Z,Bar,No,Yes,No,NA,Yes,Yes,No,No,No,"Swathantra High School, Coimbatore",Vivekananda College,NA,Madras Law College,NA,1959,Tamil Nadu,No,No,No,Patna,Madras,NA,NA,NA
Krishnaswami Sundara Paripoornan,Male,1932-06-12T00:00:00Z,NA,NA,1982-12-23T00:00:00Z,1997-06-11T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,1994-06-11T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts,NA,NA,1956,Kerala,No,No,No,Patna,Kerala,NA,NA,NA
Lalit Mohan Sharma,Male,1928-02-12T00:00:00Z,Bihar,Musi,1973-04-12T00:00:00Z,1993-02-11T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1987-10-05T00:00:00Z,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Lingala Narasimha Reddy,Male,1953-08-01T00:00:00Z,Telangana,"Gavicherla Village, Warangal",2001-09-10T00:00:00Z,2015-07-31T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,"Zilla Parishad High School, Sanghem","C.K.M. College, Warangal",Science,"Osmania University, Hyderabad",NA,1979,Andhra Pradesh,No,No,No,Patna,AndhraPradesh,NA,NA,NA
Lok Nath Prasad,Male,NA,NA,NA,1992-10-19T00:00:00Z,1998-09-19T00:00:00Z,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Madhavendra Saran,Male,NA,NA,NA,2006-05-10T00:00:00Z,NA,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Madhuresh Prasad,Male,1968-10-02T00:00:00Z,NA,NA,2017-05-22T00:00:00Z,2030-10-02T00:00:00Z,No,No,Patna,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Commerce,NA,NA,1997,NA,No,No,No,Patna,Patna,NA,NA,NA
Mandhata Singh,Male,1952-12-20T00:00:00Z,NA,NA,2009-02-09T00:00:00Z,2013-12-20T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Manohar Lal Visa,Male,NA,NA,NA,1998-12-29T00:00:00Z,2006-02-28T00:00:00Z,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Mihir Kumar Jha,Male,1953-12-01T00:00:00Z,NA,NA,2007-07-10T00:00:00Z,2015-12-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,1979,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Mohit Kumar Shah,Male,NA,NA,NA,2017-05-22T00:00:00Z,NA,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,NA,NA,NA
Mridula Mishra,Female,1949-10-31T00:00:00Z,NA,NA,2004-02-11T00:00:00Z,2011-10-31T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Arts,NA,NA,1979,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Mukesh Kumar Rashikbhai Shah,Male,1958-05-16T00:00:00Z,Gujarat,NA,2004-03-07T00:00:00Z,2023-05-15T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Patna,NA,NA,Yes,2018-11-02T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1982,Gujarat,No,No,No,Patna,Gujarat,NA,NA,NA
Mukundakam Sharma,Male,1946-09-18T00:00:00Z,West Bengal,Calcutta,1994-01-10T00:00:00Z,2011-09-17T00:00:00Z,No,No,Guwahati,Yes,Patna,1994-02-14T00:00:00Z,Delhi,1994-12-12T00:00:00Z,NA,NA,Yes,Delhi,NA,NA,Yes,2008-04-09T00:00:00Z,Bar,No,Yes,Yes,NA,Yes,Yes,No,No,No,"Cotton College, Guwahati","Ramjas College, Delhi University",Arts,Guwahati University,NA,NA,Assam and Nagaland,No,Yes,Yes,Patna,Gauhati,Patna,Delhi,NA
Mungeshwar Sahoo,Male,1955-11-01T00:00:00Z,Orrisa,"Village- Bagdega, P.S.-Birsa, District-Sundarnagar",2010-03-15T00:00:00Z,2017-10-31T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,NA,Bihar,No,No,No,Patna,Patna,NA,NA,NA
N. Pandey,Male,NA,NA,NA,1988-10-31T00:00:00Z,2001-03-20T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
N.S. Rao,Male,NA,NA,NA,1987-09-13T00:00:00Z,1994-01-04T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Nagendra Prasad Singh,Male,1931-12-25T00:00:00Z,NA,NA,1973-04-12T00:00:00Z,1996-12-24T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Calcutta,NA,NA,Yes,1992-06-15T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1956,NA,No,No,No,Patna,Patna,NA,NA,NA
Nand Lall Untwalia,Male,1915-08-01T00:00:00Z,NA,NA,1958-01-02T00:00:00Z,1980-08-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,1974-10-03T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,NA,NA,NA
Nanumani Prasad Singh,Male,NA,NA,NA,1990-07-10T00:00:00Z,1999-09-11T00:00:00Z,No,No,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,NA,NA,NA,NA
Narayan Roy,Male,1947-02-01T00:00:00Z,NA,NA,1991-12-02T00:00:00Z,2009-02-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1972,NA,No,Yes,No,Patna,Patna,NA,NA,NA
Narendra Narayan Singh,Male,NA,NA,NA,1996-05-09T00:00:00Z,2000-03-15T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,NA,NA,NA,NA
Naresh Kumar Sinha,Male,NA,NA,NA,1992-10-19T00:00:00Z,1999-04-12T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Patna,Patna,NA,NA,NA
Navaniti Prasad Singh,Male,1955-11-06T00:00:00Z,Bihar,NA,2006-03-06T00:00:00Z,2017-11-05T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,Yes,Kerala,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,"Scindhia School, Gwalior",Delhi University,NA,"Campus Law Centre, Delhi University",NA,1980,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Navin Sinha,Male,1957-08-19T00:00:00Z,Bihar,NA,2004-02-11T00:00:00Z,2021-08-18T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,2017-02-17T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patna,Patna,NA,NA,NA
Nilu Agrawal,Female,NA,Bihar,Patna,2015-04-15T00:00:00Z,NA,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,"St. Joseph's Convent, Patna",Patna University,Arts (History),Patna University,NA,1983,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
O.N. Asthana,Male,NA,NA,NA,1994-02-21T00:00:00Z,1997-04-10T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,Patna,NA,NA,NA
P.K. Sarkar,Male,NA,NA,NA,1996-03-09T00:00:00Z,2000-01-09T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,Patna,NA,NA,NA
P.K. Sinha,Male,NA,NA,NA,1999-12-16T00:00:00Z,2005-03-06T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,Patna,NA,NA,NA
P.N. Yadav,Male,NA,NA,NA,2001-07-02T00:00:00Z,2005-01-04T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Patna,Patna,NA,NA,NA
Partha Sarthy,Male,1969-10-22T00:00:00Z,NA,NA,2019-04-17T00:00:00Z,2031-10-21T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"Kirori Mal College, Delhi University",NA,"Patna Law College, Patna University",NA,1995,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Prabha Shankar Mishra,Male,1938-08-06T00:00:00Z,NA,NA,1982-11-18T00:00:00Z,1998-08-06T00:00:00Z,No,No,Patna,Yes,Madaras,1990-01-20T00:00:00Z,NA,NA,NA,NA,Yes,Andhra Pradesh,Calcutta,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Bihar,No,No,No,Patna,Patna,Madras,NA,NA
Prabhat Kumar Jha,Male,1959-07-16T00:00:00Z,Bihar,"Hanumannagar Bedaul, Sitamarhi",2014-04-21T00:00:00Z,2021-07-15T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Patna University,"B.A, LL.B",Patna University,1986,1986,Bihar,No,No,No,Patna,Patna,NA,NA,NA
Prabhat Kumar Singh,Male,1967-01-02T00:00:00Z,NA,NA,2019-04-17T00:00:00Z,2029-01-01T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"Ramjas College, Delhi University",History,"Campus Law Centre, Delhi University",NA,1994,Bihar,No,Yes,No,Patna,Patna,NA,NA,NA
Prafulla Kumar Mishra,Male,1947-09-17T00:00:00Z,Odisha,NA,1996-01-17T00:00:00Z,2009-09-17T00:00:00Z,No,No,Odisha,Yes,Madras,2001-06-25T00:00:00Z,NA,NA,NA,NA,Yes,Patna,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,Utkal University,1968,1968,Odisha,No,No,Yes,Patna,Orissa,Madras,NA,NA
Prakash Chandra Jaiswal,Male,1957-12-30T00:00:00Z,NA,NA,2017-05-22T00:00:00Z,2019-12-29T00:00:00Z,No,No,Patna,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Queens College, Varanasi",NA,NA,Banras Hindu University,NA,NA,Uttar Pradesh,NA,NA,No,Patna,Patna,NA,NA,NA
