Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Tej Shanker,Male,NA,NA,NA,1994-02-01T00:00:00Z,1999-04-05T00:00:00Z,No,No,Allahabad,Yes,Madhya Pradesh,1994-02-14T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
Tejinder Singh Doabia,Male,NA,NA,NA,NA,NA,No,NA,NA,Yes,Madhya Pradesh,1994-02-28T00:00:00Z,Jammu and Kashmir,1997-12-06T00:00:00Z,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
Ullal Bhat,Male,1933-10-10T00:00:00Z,Karnataka,Ullal,1993-12-15T00:00:00Z,1995-10-10T00:00:00Z,No,No,Kerala,No,NA,NA,NA,NA,NA,NA,Yes,Madhya Pradesh,Gauhati,NA,NA,NA,Service,Yes,Yes,Yes,No,No,No,No,No,Yes,NA,NA,NA,NA,NA,1955,NA,NA,NA,No,MadhyaPradesh
Uma Nath Singh,Male,1954-01-15T00:00:00Z,NA,NA,2001-10-22T00:00:00Z,2016-01-14T00:00:00Z,No,No,Madhya Pradesh,Yes,Punjab and Haryana,2004-11-29T00:00:00Z,Allahabad,2009-06-29T00:00:00Z,Meghalaya,2014-08-26T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Ewing Christian College, Allahabad",NA,Allahabad University,NA,1982,Delhi,No,Yes,No,MadhyaPradesh
Umesh Chandra Maheshwari,Male,1955-11-02T00:00:00Z,Madhya Pradesh,"Mhow, Indore",2004-10-11T00:00:00Z,2016-06-27T00:00:00Z,No,Yes,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,1977,Madhya Pradesh,NA,NA,No,MadhyaPradesh
Usha Shukla,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
Vivek Agarwal,Male,1967-06-28T00:00:00Z,Uttar Pradesh,Kasganj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
Vandana Kasrekar,Female,1960-07-10T00:00:00Z,Madhya Pradesh,Indore,2014-10-25T00:00:00Z,2020-12-13T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1988,Madhya Pradesh,NA,No,Yes,MadhyaPradesh
Ved Prakash Sharma,Male,1956-01-02T00:00:00Z,Uttar Pradesh,Agra,2016-04-07T00:00:00Z,2018-01-01T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,MadhyaPradesh
Vijay Kumar Shukla,Male,1964-06-28T00:00:00Z,NA,NA,2016-10-13T00:00:00Z,2026-06-27T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Arts,NA,NA,1987,Madhya Pradesh,No,No,No,MadhyaPradesh
Vimla Jain,Female,1952-06-11T00:00:00Z,NA,NA,2010-09-13T00:00:00Z,2014-06-11T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,MadhyaPradesh
Vinay Mittal,Male,NA,NA,NA,NA,NA,NA,NA,Punjab and Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
Virender Singh,Male,1961-04-15T00:00:00Z,NA,NA,2016-10-13T00:00:00Z,2023-04-14T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arts,NA,NA,NA,NA,No,No,No,MadhyaPradesh
Virendra Gyani,Male,1936-07-30T00:00:00Z,NA,NA,1984-05-14T00:00:00Z,1998-07-29T00:00:00Z,No,No,Madhya Pradesh,Yes,Gauhati,1994-04-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,NA,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Madhya Pradesh,NA,NA,NA,MadhyaPradesh
Vishal Dhagat,Male,1969-12-14T00:00:00Z,Assam,Dibrugarh,2019-05-27T00:00:00Z,2031-12-13T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Venkateswara College, Delhi University",Arts (Honours),Hari Singh Gour University Sagar,NA,1999,Madhya Pradesh,NA,NA,No,MadhyaPradesh
Vishal Mishra,Male,1974-07-17T00:00:00Z,NA,NA,2019-05-27T00:00:00Z,2036-07-16T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,NA,NA,NA,NA,NA,2000,Madhya Pradesh,NA,NA,No,MadhyaPradesh
Vishnu Deo Narayan,Male,1943-08-13T00:00:00Z,NA,NA,2002-01-28T00:00:00Z,2005-08-13T00:00:00Z,No,No,Jharkhand,Yes,Madhya Pradesh,2004-12-07T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,MadhyaPradesh
Vishnu Chauhan,Male,1959-03-15T00:00:00Z,NA,NA,2018-11-19T00:00:00Z,2021-03-14T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1984,Madhya Pradesh,NA,NA,NA,MadhyaPradesh
Vishnu Kokje,Male,NA,NA,NA,1990-07-28T00:00:00Z,2001-11-06T00:00:00Z,No,No,Madhya Pradesh,Yes,Rajasthan,1994-04-23T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1964,Madhya Pradesh,NA,NA,NA,MadhyaPradesh
Vivek Agarwal,Male,1967-06-28T00:00:00Z,Uttar Pradesh,Kasganj,2016-04-07T00:00:00Z,2029-06-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Allahabad,2019-10-16T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1992,Madhya Pradesh,No,No,No,MadhyaPradesh
Vivek Rusia,Male,1969-08-02T00:00:00Z,Madhya Pradesh,Jabalpur,2016-04-07T00:00:00Z,2031-08-01T00:00:00Z,No,No,Madhya Pradesh,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,NA,NA,Science,NA,NA,1992,Madhya Pradesh,No,No,No,MadhyaPradesh
W.A. Shah,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MadhyaPradesh
A. Selvam,Male,1956-04-05T00:00:00Z,NA,NA,2006-07-31T00:00:00Z,2018-04-04T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,Yes,No,No,No,No,No,NA,NA,Arts,NA,NA,1981,Tamil Nadu,No,No,No,Madras
Muhammad Basheer Ahmad,Male,1956-08-28T00:00:00Z,tamil Nadu,"Singampathu, Tirunelveli District",2016-10-05T00:00:00Z,2018-08-27T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"K.A.M.P. Meerania High School, Kalakkad, Tirunelveli District, P.U.C.",Adhithanar College of Arts and Science at Tiruchendur,Science,"Madurai Law College, Madurai",1980,1981,tamil Nadu,No,No,No,Madras
A. A. Nakkiran,Male,NA,Tamil Nadu,Chennai,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,"Govt Law Clg, Trichy",NA,"Govt Law Clg, Trichy",NA,1986,Tamil Nadu,No,No,No,Madras
Abdul Quddhose,Male,1969-09-08T00:00:00Z,Tamil Nadu,Theni,2017-06-28T00:00:00Z,2031-09-07T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,Yes,Yes,Yes,"Boston HSC, Chennai",Madras Law College,NA,Madras Law College,NA,1993,Tamil Nadu,No,No,No,Madras
Jagadish Chandra,Male,1966-02-15T00:00:00Z,Tamil Nadu,Thoothukudi,2017-06-28T00:00:00Z,2028-02-14T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,Madras Law College,NA,Madras Law College,NA,1989,Tamil Nadu,No,No,No,Madras
Ajit Shah,Male,1948-02-13T00:00:00Z,Maharashtra,Solapur,1992-12-18T00:00:00Z,2010-02-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Madras,Delhi,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,NA,"Government Law College, Mumbai",NA,NA,Maharashtra,No,No,No,Madras
Amreshwar Pratap Sahi,Male,1959-01-01T00:00:00Z,NA,NA,2005-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Patna,Madras,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Allahabad University,NA,NA,1985,1985,Uttar Pradesh,No,No,No,Madras
Ardhanariswamy Arumughaswamy,Male,1952-04-28T00:00:00Z,Tamil Nadu,NA,2010-02-17T00:00:00Z,2014-04-27T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Madras
Aruna Jagadeesan,Female,1953-03-26T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2015-03-25T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Tamil Nadu,NA,NA,No,Madras
Ashok Chhotelal Agarwal,Male,1937-08-27T00:00:00Z,Maharashtra,Pune,1986-11-21T00:00:00Z,1999-08-26T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,Yes,Madras,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"Shri Shivaji Preparatory Military School, Pune",Ferguson College and Wadia College,Arts,"Indian Law Society, Pune",1960,1960,Maharashtra,No,No,No,Madras
Asok Kumar Ganguly,Male,1947-02-03T00:00:00Z,NA,NA,1994-01-10T00:00:00Z,2012-02-03T00:00:00Z,No,No,Calcutta,Yes,Patna,1994-04-04T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,Orissa,2006-04-21T00:00:00Z,Yes,Orissa,Madras,NA,Yes,2008-12-17T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Calcutta University,English,Calcutta University,1970,1971,West Bengal,No,No,No,Madras
B. Gokuldas,Male,1955-06-07T00:00:00Z,tamil Nadu,NA,2016-04-07T00:00:00Z,2017-06-06T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Madras Christian Clg,Arts,Madras Law College,NA,1978,Tamil Nadu,No,No,No,Madras
B. Pugalendhi,Male,1967-05-25T00:00:00Z,NA,NA,2018-11-20T00:00:00Z,2029-05-24T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,"Govt Law Clg, Pondi",NA,"Govt Law Clg, pondi",NA,1990,Tamil Nadu,No,No,No,Madras
B Subhashan Reddy,Male,1943-03-02T00:00:00Z,Andhra Pradesh,Bagh Amberpet,1991-11-25T00:00:00Z,2005-03-02T00:00:00Z,No,No,Andhra Pradesh,No,NA,NA,NA,NA,NA,NA,Yes,Madras,Kerala,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Sultan Bazar and Chadarghat High Schools, Hyderabad",Osmania University College of Science,Science,"University College of Law, Osmania University",1966,1966,Andhra Pradesh,No,No,No,Madras
Balasundaram Rajendran,Male,1955-04-01T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2020-03-31T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Tamil Nadu,No,No,No,Madras
C. Saravanan,Male,1971-01-12T00:00:00Z,Tamil Nadu,NA,2018-06-04T00:00:00Z,2033-01-11T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,Yes,"Cordite Factory HSC, Aruvankadu",NLSIU Bangalore,Arts,NLSIU Bangalore,NA,1994,"Tamil Nadu, Puducherry",No,No,No,Madras
Chinnasamy Karnan,Male,1955-06-12T00:00:00Z,Tamil Nadu,Karnatham,2009-03-31T00:00:00Z,2017-06-11T00:00:00Z,No,No,Madras,Yes,Calcutta,2016-03-11T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,"Karnatham's Adi Dravidar school; Mangalampet government school; Government Arts College, Vridhachalam","The New College, Chennai",Science,Madras Law College,1983,1983,Tamil Nadu,No,No,No,Madras
Chockalignam Nagappan,Male,1951-10-04T00:00:00Z,Tamil nadu,NA,2013-09-19T00:00:00Z,2016-10-03T00:00:00Z,No,No,Madras,Yes,Orissa,2013-02-27T00:00:00Z,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,2013-09-19T00:00:00Z,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,Science,NA,NA,1974,tamil nadu,No,No,Yes,Madras
C. V. Karthikeyan,Male,1964-12-14T00:00:00Z,Tamil Nadu,NA,2016-10-05T00:00:00Z,2026-12-13T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,Yes,No,No,No,No,Yes,"St Mary's HSC; Hindu HSC, Chennai",Madras Christian College,Science,Madras Law College,NA,1989,Tamil Nadu,No,Yes,Yes,Madras
Cyril Thamarai Selvam,Male,1957-02-09T00:00:00Z,Tamil Nadu,Thanjavur,2009-03-31T00:00:00Z,2019-02-08T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,NA,Loyola College,Commerce,Madras Law College,1981,1982,Tamil Nadu,No,No,No,Madras
D. Krishnakumar,Male,1963-05-22T00:00:00Z,NA,NA,2016-04-07T00:00:00Z,2025-05-21T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,Govt HSC Dharmapuram,Presidency College Chennai,Science,Madras Law College,NA,1985,Tamil Nadu,No,No,No,Madras
Anita Sumanth,Female,1970-04-13T00:00:00Z,NA,NA,2016-10-05T00:00:00Z,2032-04-14T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,Womens Christian Clg Chennai,English Literature,"Government Law College, Chennai",NA,1993,Tamil Nadu,No,No,Yes,Madras
G. Jayachandran,Male,1965-04-01T00:00:00Z,Tamil Nadu,Vellore,2016-10-05T00:00:00Z,2027-03-31T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,No,No,No,No,No,Yes,"Voorhees HSC, Vellore",NA,NA,NA,1988,1988,tamil nadu,No,Yes,Yes,Madras
Duraisamy Hariparanthaman,Male,1954-03-17T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2016-03-16T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Tamil Nadu,No,No,No,Madras
G. Chandrasekharan,Male,1962-05-31T00:00:00Z,Tamil Nadu,Virudhunagar,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,"St Britto HSC, Madurai","Sourashta Clg, Madurai",NA,"Govt Law Clg, Madurai",NA,1987,Tamil nadu,No,No,No,Madras
Ganesan Ilangovan,Male,1963-06-05T00:00:00Z,Tamil Nadu,Thiruthuraipoondi,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Vilakudi, Thiruthuraipoondi","Bishop Heber Clg, Trichy",NA,"Govt Law Clg, Trichy",NA,1987,Tamil Nadu,No,No,No,Madras
Akbar Ali,Male,1952-11-23T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2014-11-22T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,1978,Tamil Nadu,No,No,No,Madras
G R Swaminathan,Male,1968-06-01T00:00:00Z,Tamil Nadu,Thiruvarur,2017-06-28T00:00:00Z,2030-05-31T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,"Central Law Clg, Salem",NA,"Dr. Ambedkar Law Clg, Pondi",1990,1991,Tamil Nadu,No,No,No,Madras
G. K. Ilanthiraiyan,Male,1970-07-09T00:00:00Z,Tamil Nadu,NA,2018-06-04T00:00:00Z,2032-07-08T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,Yes,"Govt HSC, Mettur","Ambedkar Law Clg, Pondi",NA,"Ambedkar Law Clg, Pondi",NA,1994,Tamil Nadu,No,No,No,Madras
Gopalakrishnan Chockalingam,Male,1955-04-01T00:00:00Z,tamil Nadu,NA,2013-10-25T00:00:00Z,2017-03-31T00:00:00Z,No,No,madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1979,tamil Nadu,No,No,No,Madras
Hemant Laxman Gokhale,Male,1949-03-10T00:00:00Z,Gujarat,NA,1994-01-20T00:00:00Z,2011-03-20T00:00:00Z,No,No,Bombay,Yes,Gujarat,1994-02-04T00:00:00Z,Bombay,1999-02-24T00:00:00Z,NA,NA,Yes,Allahabad,Madras,NA,Yes,2010-04-30T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Government Law College, Bombay",NA,"Government Law College, Mumbai",NA,1973,Maharashtra,No,Yes,Yes,Madras
Huluvadi Ramesh,Male,1957-05-20T00:00:00Z,NA,NA,2003-09-08T00:00:00Z,2019-05-19T00:00:00Z,No,No,Karnataka,Yes,Allahabad,2015-02-16T00:00:00Z,Madras,2016-04-11T00:00:00Z,Madhya Pradesh,2018-11-15T00:00:00Z,No,NA,NA,NA,No,NA,Service,Yes,Yes,NA,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,Karnataka,No,No,No,Madras
J. Nisha Banu,Female,1966-09-18T00:00:00Z,tamil Nadu,Nagercoil,2016-10-05T00:00:00Z,2028-09-17T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,No,"St Josephs Convent, Nagercoi",Madras Law College,NA,Madras Law College,NA,1990,Tamil Nadu,No,No,No,Madras
Kandasamy Kalyanasundaram,Male,1960-05-27T00:00:00Z,Tamil Nadu,Manjanayakkampatti,2013-10-25T00:00:00Z,2022-05-26T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,ITO Ayakudi,Arul Migu Palani Arts Clg,Economics,Madras University,1985,1986,Tamil Nadu,No,No,No,Madras
Murali Shankar Kuppuraju,Male,1968-05-31T00:00:00Z,Tamil Nadu,Chennai,2020-12-03T00:00:00Z,2022-12-03T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,Yes,"Devanga HSC, Coimbatore",Coimbatore Law Clg,NA,Coimbatore Law Clg,NA,1991,Tamil Nadu,No,No,No,Madras
K. B. K. Vasuki,Female,1953-09-09T00:00:00Z,Tamil Nadu,Kodumudi,2010-02-17T00:00:00Z,2015-09-08T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,Yes,"Sri Sankara Vidyasala High School, Kodumudi; Sri Sankara Vidyasala Girls High School, Kodumudi.","PSG Krishnammal College for Women, Coimbatore",Arts,Madras Law College,NA,1979,Tamil Nadu,No,No,No,Madras
Kandasami Ravichandra Baabu,Male,1958-10-14T00:00:00Z,Tamil Nadu,Villipuram,2011-12-20T00:00:00Z,2020-10-13T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,Madras Law College,NA,1984,Tamil Nadu,No,No,No,Madras
K. K. Sasidharan,Male,1957-10-28T00:00:00Z,Union Territory of Pondicherry,Chalackara Village,2007-11-12T00:00:00Z,2019-10-27T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"Sreenarayana Senior Basic School, Kurichiyil; V.P. Oriental High School,
 Chockly","Mahatma Gandhi Govt. Arts College, Mahe, Pondicherry",Arts,"Dr. Ambedkar Govt. Law College, Pondicherry",1983,1983,Tamil Nadu,No,No,No,Madras
Konakuppakattil Gopinathan Balakrishnan,Male,1945-05-12T00:00:00Z,Kerala,Thalayolaparambu,1985-09-26T00:00:00Z,2010-05-12T00:00:00Z,No,No,Kerala,Yes,Gujarat,1997-11-24T00:00:00Z,NA,NA,NA,NA,Yes,Gujarat,Madras,NA,Yes,2000-06-08T00:00:00Z,Service,Yes,Yes,NA,Yes,No,No,No,No,No,NA,Maharaja's College,NA,Maharaja's Law College,NA,1968,Kerala,No,No,Yes,Madras
Krishnan Ramasamy,Male,1968-06-03T00:00:00Z,Tamil Nadu,Kallakurichi,2018-06-04T00:00:00Z,2030-06-02T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,No,No,No,No,Yes,NA,"National College, Trichy",Commerce,Madras Law College,NA,1994,Tamil Nadu,No,No,No,Madras
Kudarikoti Swamy,Male,1935-03-20T00:00:00Z,NA,NA,1979-01-01T00:00:00Z,1997-03-19T00:00:00Z,No,No,Karnataka,No,NA,NA,NA,NA,NA,NA,Yes,Madras,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,1960,Karnataka,No,No,No,Madras
Indira Banerjee,Male,1957-09-24T00:00:00Z,NA,NA,2002-02-05T00:00:00Z,2022-09-24T00:00:00Z,No,No,Calcutta,Yes,Delhi,2016-08-08T00:00:00Z,NA,NA,NA,NA,Yes,Madras,NA,NA,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,"Loreto House, Calcutta",Presidency College,History (Hons.),"Calcutta University, College of Law",NA,1985,West Bengal,No,No,No,Madras
M. Dhandapani,Male,1968-04-15T00:00:00Z,Tamil Nadu,Villupuram,2017-06-28T00:00:00Z,2030-04-14T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,No,NA,"Jamal Mohammed Clg, Trichy",History,"Govt Law Clg, Trichy",NA,1996,Tamil Nadu,No,No,No,Madras
M Duraiswamy,Male,1960-09-22T00:00:00Z,NA,NA,2009-03-31T00:00:00Z,2022-09-21T00:00:00Z,No,No,Madras,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,NA,NA,Yes,No,No,No,Yes,NA,NA,Commerce,Madras Law College,NA,1987,"Tamil Nadu, Puducherry",No,No,No,Madras
